activityName,activityCategoryName,activityStartDate [ms],activityStartDate,activityEndDate [ms],activityEndDate,activityDuration [ms],activityDuration
Moving - youtube,Transport,1540224767814,Mon Oct 22 18:12:47 GMT+02:00 2018,1540227037226,Mon Oct 22 18:50:37 GMT+02:00 2018,2269412,37 min
Food,Feeding,1540227037226,Mon Oct 22 18:50:37 GMT+02:00 2018,1540227937226,Mon Oct 22 19:05:37 GMT+02:00 2018,900000,15 min
University - lectures boring,Wasted Time,1540227937226,Mon Oct 22 19:05:37 GMT+02:00 2018,1540233937226,Mon Oct 22 20:45:37 GMT+02:00 2018,6000000,1 h 40 min
Social - Real Life,Social - Persist,1540233937226,Mon Oct 22 20:45:37 GMT+02:00 2018,1540235285379,Mon Oct 22 21:08:05 GMT+02:00 2018,1348153,22 min
Youtube,Entertainment,1540235285379,Mon Oct 22 21:08:05 GMT+02:00 2018,1540241105379,Mon Oct 22 22:45:05 GMT+02:00 2018,5820000,1 h 37 min
Food,Feeding,1540241105379,Mon Oct 22 22:45:05 GMT+02:00 2018,1540241885379,Mon Oct 22 22:58:05 GMT+02:00 2018,780000,13 min
Series / Docu,Entertainment,1540241885379,Mon Oct 22 22:58:05 GMT+02:00 2018,1540243124129,Mon Oct 22 23:18:44 GMT+02:00 2018,1238750,20 min
Trello,Personal Adjusting,1540243124129,Mon Oct 22 23:18:44 GMT+02:00 2018,1540244384129,Mon Oct 22 23:39:44 GMT+02:00 2018,1260000,21 min
WC ,Personal Hygiene,1540244384129,Mon Oct 22 23:39:44 GMT+02:00 2018,1540244804129,Mon Oct 22 23:46:44 GMT+02:00 2018,420000,7 min
Series / Docu,Entertainment,1540244804129,Mon Oct 22 23:46:44 GMT+02:00 2018,1540251127251,Tue Oct 23 01:32:07 GMT+02:00 2018,6323122,1 h 45 min
Sleep,Refresh,1540251127251,Tue Oct 23 01:32:07 GMT+02:00 2018,1540269284370,Tue Oct 23 06:34:44 GMT+02:00 2018,18157119,5 h 2 min
Clean,Personal Hygiene,1540269284370,Tue Oct 23 06:34:44 GMT+02:00 2018,1540272764370,Tue Oct 23 07:32:44 GMT+02:00 2018,3480000,58 min
WC ,Personal Hygiene,1540272764370,Tue Oct 23 07:32:44 GMT+02:00 2018,1540272837930,Tue Oct 23 07:33:57 GMT+02:00 2018,73560,1 min
Sleep,Refresh,1540272837930,Tue Oct 23 07:33:57 GMT+02:00 2018,1540279945581,Tue Oct 23 09:32:25 GMT+02:00 2018,7107651,1 h 58 min
WC ,Personal Hygiene,1540279945581,Tue Oct 23 09:32:25 GMT+02:00 2018,1540280005581,Tue Oct 23 09:33:25 GMT+02:00 2018,60000,1 min
Food,Feeding,1540280005581,Tue Oct 23 09:33:25 GMT+02:00 2018,1540281875227,Tue Oct 23 10:04:35 GMT+02:00 2018,1869646,31 min
Social - Real Life,Social - Persist,1540281875227,Tue Oct 23 10:04:35 GMT+02:00 2018,1540282595227,Tue Oct 23 10:16:35 GMT+02:00 2018,720000,12 min
Moving - youtube,Transport,1540282595227,Tue Oct 23 10:16:35 GMT+02:00 2018,1540283267645,Tue Oct 23 10:27:47 GMT+02:00 2018,672418,11 min
Wasted,Wasted Time,1540283267645,Tue Oct 23 10:27:47 GMT+02:00 2018,1540283400207,Tue Oct 23 10:30:00 GMT+02:00 2018,132562,2 min
Moving - youtube,Transport,1540283400207,Tue Oct 23 10:30:00 GMT+02:00 2018,1540283481695,Tue Oct 23 10:31:21 GMT+02:00 2018,81488,1 min
Social - Media,Social - Persist,1540283481695,Tue Oct 23 10:31:21 GMT+02:00 2018,1540285145581,Tue Oct 23 10:59:05 GMT+02:00 2018,1663886,27 min
Trello,Personal Adjusting,1540285145581,Tue Oct 23 10:59:05 GMT+02:00 2018,1540285685581,Tue Oct 23 11:08:05 GMT+02:00 2018,540000,9 min
Social - Media,Social - Persist,1540285685581,Tue Oct 23 11:08:05 GMT+02:00 2018,1540286237205,Tue Oct 23 11:17:17 GMT+02:00 2018,551624,9 min
Youtube,Entertainment,1540286237205,Tue Oct 23 11:17:17 GMT+02:00 2018,1540286537205,Tue Oct 23 11:22:17 GMT+02:00 2018,300000,5 min
Work - Social,Value Contribution,1540286537205,Tue Oct 23 11:22:17 GMT+02:00 2018,1540286897205,Tue Oct 23 11:28:17 GMT+02:00 2018,360000,6 min
Trello,Personal Adjusting,1540286897205,Tue Oct 23 11:28:17 GMT+02:00 2018,1540287534150,Tue Oct 23 11:38:54 GMT+02:00 2018,636945,10 min
Work - Social,Value Contribution,1540287534150,Tue Oct 23 11:38:54 GMT+02:00 2018,1540294766179,Tue Oct 23 13:39:26 GMT+02:00 2018,7232029,2 h 
Work - Purpose,Purpose,1540294766179,Tue Oct 23 13:39:26 GMT+02:00 2018,1540296022407,Tue Oct 23 14:00:22 GMT+02:00 2018,1256228,20 min
University - Orga,Org & Duty,1540296022407,Tue Oct 23 14:00:22 GMT+02:00 2018,1540296535209,Tue Oct 23 14:08:55 GMT+02:00 2018,512802,8 min
Work - Social,Value Contribution,1540296535209,Tue Oct 23 14:08:55 GMT+02:00 2018,1540297604222,Tue Oct 23 14:26:44 GMT+02:00 2018,1069013,17 min
